DATE,Æò±Õ ±â¿Â,Æò±Õ »ó´ë ½Àµµ,ÃÑ °­¼ö·®,Æò±Õ °¡½Ã°Å¸®,Æò±Õ Ç³¼Ó
20140516,23.1,30,0,,10.2
20140517,21.9,36,,,10.7
20140518,24.6,45,,6.8,11.5
20140519,22.7,63,0,6.4,8
20140520,24.4,39,0,11.4,11.1
20140521,24.9,54,0,5.5,8.5
20140522,27.6,40,0,4.2,13
20140523,28.1,41,3.05,6.6,13
20140524,19.6,92,5.08,3.4,7.4
20140525,21.6,34,0.51,5.1,19.8
20140526,28.8,20,0,,15.6
20140527,25.6,27,0,7.6,20.9
20140528,29,28,0,,12.8
20140529,30.6,29,0,10.3,8.5
20140530,28.1,41,0,7.6,10.4
20140531,26.9,52,7.62,7.2,12.2
20140601,23.3,61,1.52,9.5,10.9
20140602,22.3,55,0,,8.9
20140603,25.9,46,0,10,8.3
20140604,26.3,48,0,7.7,8.9
20140605,28.4,46,0,6.9,8.3
20140606,19.4,77,7.11,8,12.8
20140607,22.9,48,0,,10.2
20140608,20.7,64,0.25,10.9,9.6
20140609,23.1,52,,8.5,8.1
20140610,21.3,74,12.19,5.1,6.7
20140611,25.1,49,11.94,,9.1
20140612,28.6,44,0,10.3,7.4
20140613,24.1,65,11.43,8.7,9.3
20140614,26.8,58,0,6.6,6.3
20140615,25.8,65,3.81,5.8,9.3
20140616,25,71,33.02,5,9.8
20140617,20.9,85,2.03,5.8,7.4
20140618,25.4,63,1.78,4.8,9.1
20140619,23.3,74,7.62,4.8,10.2
20140620,22.9,72,0,7.7,7.4
20140621,22.2,71,3.81,7.9,8.9
20140622,22.7,68,1.02,8.4,8.3
20140623,25.8,52,0,,6.5
20140624,27.3,53,0,7.7,9.1
20140625,24.6,74,1.52,3.9,9.8
20140626,26.8,63,0,6.3,7.4
20140627,28.3,36,0,,12.2
20140628,29.7,38,0,12.1,8.3
20140629,29,48,0,,7.8
20140630,29.8,44,0,7.6,9.8
20140701,26.2,68,47.75,5,9.8
20140702,23.7,84,0.76,4.2,5.9
20140703,26.2,80,0,2.3,7
20140704,27.4,74,0,2.9,8.3
20140705,27.5,73,0,3.5,9.3
20140706,27.1,75,0,3.2,8.3
20140707,27.9,71,0.51,4.8,9.1
20140708,27.5,57,0,5.6,8.7
20140709,26.9,50,0,,7.2
20140710,30.3,38,0,,11.5
20140711,29.7,38,0,,10
20140712,30.6,31,0,18.8,11.7
20140713,32.7,29,,14,10
20140714,29.9,42,0,10,11.7
20140715,27.8,58,1.02,7.6,11.1
20140716,25.4,17,12.45,4.5,7.4
20140717,26.5,17,3.05,3.2,6.7
20140718,29.9,67,0,5.6,6.9
20140719,31.9,61,,6.9,11.5
20140720,32.2,59,0,7.7,14.6
20140721,30.2,45,,,11.7
20140722,27.4,51,0,13.2,9.4
20140723,27.4,55,0,10.3,7.6
20140724,25,72,0,6.3,5.9
20140725,28.1,51,0,6.4,9.8
20140726,29.7,48,0,4.2,10.9
20140727,29.6,52,0,5.8,10.6
20140728,30.2,54,0,5.1,12.4
20140729,28.4,63,22.61,4.3,14.3
20140730,25.5,82,19.05,2.9,6.7
20140731,27.2,74,0.51,2.9,8
20140801,28.1,74,0,4.3,6.9
20140802,29.4,72,0,4,5.7
