date,hour,pm2.5
20140517,0,18.71
20140517,1,15.44
20140517,2,16.87
20140517,3,16.95
20140517,4,28.76
20140517,5,36.88
20140517,6,44.15
20140517,7,44.55
20140517,8,45.31
20140517,9,44.43
20140517,10,46.4
20140517,11,47.94
20140517,12,47.54
20140517,13,45.42
20140517,14,48.32
20140517,15,50.84
20140517,16,53.52
20140517,17,55.48
20140517,18,60.49
20140517,19,62.55
20140517,20,60.67
20140517,21,51.04
20140517,22,43.99
20140517,23,44.78
20140518,0,44.57
20140518,1,44.04
20140518,2,40.57
20140518,3,41.28
20140518,4,42.26
20140518,5,38.44
20140518,6,36.34
20140518,7,39.3
20140518,8,38.66
20140518,9,37.57
20140518,10,41.53
20140518,11,40.11
20140518,12,43.95
20140518,13,42.47
20140518,14,45.76
20140518,15,48.25
20140518,16,52.7
20140518,17,53.93
20140518,18,53.03
20140518,19,50.9
20140518,20,54.36
20140518,21,57.67
20140518,22,65.13
20140518,23,71.07
20140519,0,76.68
20140519,1,79.16
20140519,2,90.7
20140519,3,102
20140519,4,114.36
20140519,5,114.99
20140519,6,111.57
20140519,7,102.98
20140519,8,93.52
20140519,9,67.47
20140519,10,65.84
20140519,11,59.12
20140519,12,61.08
20140519,13,60.56
20140519,14,57.41
20140519,15,59.43
20140519,16,59.06
20140519,17,63.32
20140519,18,65.9
20140519,19,75.84
20140519,20,89.7
20140519,21,103.61
20140519,22,109.53
20140519,23,111.4
20140520,0,112.17
20140520,1,107.53
20140520,2,99.4
20140520,3,100.45
20140520,4,106.96
20140520,5,117.65
20140520,6,128.25
20140520,7,131.62
20140520,8,138.29
20140520,9,139.09
20140520,10,147.51
20140520,11,151.83
20140520,12,147.95
20140520,13,129.51
20140520,14,105.79
20140520,15,92.72
20140520,16,65.76
20140520,17,59.49
20140520,18,57.28
20140520,19,38.15
20140520,20,24.75
20140520,21,17.53
20140520,22,14.07
20140520,23,14.71
20140521,0,15.06
20140521,1,17
20140521,2,20.17
20140521,3,25.22
20140521,4,35.23
20140521,5,59.62
20140521,6,71.77
20140521,7,76.81
20140521,8,80.65
20140521,9,76.76
20140521,10,71.55
20140521,11,68.45
20140521,12,70.2
20140521,13,71.39
20140521,14,68.95
20140521,15,74.2
20140521,16,81.18
20140521,17,80.99
20140521,18,84.84
20140521,19,84.44
20140521,20,85.11
20140521,21,85.62
20140521,22,89.72
20140521,23,88.39
20140522,0,91.58
20140522,1,96.11
20140522,2,97.33
20140522,3,104.25
20140522,4,106.07
20140522,5,112.36
20140522,6,118.18
20140522,7,122.38
20140522,8,125.72
20140522,9,131.45
20140522,10,132.47
20140522,11,135.09
20140522,12,140.75
20140522,13,143.88
20140522,14,144.86
20140522,15,159.61
20140522,16,174.93
20140522,17,188.93
20140522,18,182.28
20140522,19,203.84
20140522,20,168.26
20140522,21,146.35
20140522,22,104.62
20140522,23,66.75
20140523,0,47.33
20140523,1,42.65
20140523,2,40.58
20140523,3,39.97
20140523,4,49.33
20140523,5,55.76
20140523,6,63.58
20140523,7,71.26
20140523,8,68.92
20140523,9,76.25
20140523,10,78.87
20140523,11,84.21
20140523,12,87.32
20140523,13,90.99
20140523,14,93.66
