날짜,pm10,pm2.5,오존,이산화질소,일산화탄소,아황산가스
2014-05-16,51,21,0.031,0.037,0.5,0.007
2014-05-17,56,27,0.034,0.046,0.6,0.009
2014-05-18,50,27,0.042,0.036,0.5,0.007
2014-05-19,57,29,0.029,0.046,0.5,0.008
2014-05-20,70,26,0.033,0.038,0.4,0.006
2014-05-21,54,22,0.035,0.025,0.3,0.005
2014-05-22,46,25,0.034,0.039,0.4,0.006
2014-05-23,70,36,0.033,0.037,0.5,0.007
2014-05-24,65,32,0.034,0.034,0.5,0.006
2014-05-25,47,25,0.037,0.021,0.4,0.005
2014-05-26,77,21,0.043,0.023,0.4,0.005
2014-05-27,147,41,0.063,0.028,0.5,0.009
2014-05-28,164,53,0.07,0.036,0.6,0.007
2014-05-29,120,45,0.056,0.037,0.6,0.008
2014-05-30,69,22,0.038,0.049,0.5,0.008
2014-05-31,109,40,0.053,0.045,0.5,0.008
2014-06-01,86,36,0.051,0.03,0.4,0.007
2014-06-02,79,36,0.02,0.046,0.5,0.005
2014-06-03,24,13,0.028,0.024,0.3,0.004
2014-06-04,19,10,0.045,0.014,0.3,0.004
2014-06-05,18,10,0.04,0.019,0.3,0.004
2014-06-06,27,14,0.037,0.025,0.3,0.004
2014-06-07,34,18,0.032,0.035,0.4,0.006
2014-06-08,31,19,0.04,0.018,0.3,0.005
2014-06-09,38,22,0.028,0.032,0.4,0.005
2014-06-10,31,18,0.03,0.031,0.4,0.004
2014-06-11,20,11,0.02,0.029,0.3,0.004
2014-06-12,25,14,0.028,0.025,0.3,0.004
2014-06-13,51,30,0.038,0.028,0.4,0.005
2014-06-14,35,21,0.046,0.024,0.4,0.006
2014-06-15,39,24,0.054,0.019,0.3,0.005
2014-06-16,33,19,0.032,0.031,0.4,0.006
2014-06-17,69,44,0.046,0.033,0.6,0.007
2014-06-18,54,34,0.05,0.025,0.5,0.005
2014-06-19,48,29,0.039,0.02,0.4,0.004
2014-06-20,50,30,0.037,0.024,0.5,0.004
2014-06-21,24,15,0.035,0.021,0.4,0.004
2014-06-22,20,13,0.033,0.019,0.4,0.004
2014-06-23,30,18,0.022,0.032,0.5,0.004
2014-06-24,38,22,0.03,0.028,0.4,0.005
2014-06-25,47,29,0.035,0.031,0.5,0.005
2014-06-26,45,28,0.037,0.026,0.4,0.005
2014-06-27,32,20,0.03,0.023,0.3,0.004
2014-06-28,35,21,0.053,0.016,0.3,0.005
2014-06-29,31,19,0.05,0.019,0.4,0.005
2014-06-30,32,20,0.037,0.03,0.4,0.006
2014-07-01,42,28,0.046,0.031,0.5,0.006
2014-07-02,68,40,0.047,0.025,0.5,0.006
2014-07-03,22,14,0.027,0.02,0.4,0.004
2014-07-04,18,11,0.034,0.022,0.3,0.004
2014-07-05,30,18,0.027,0.038,0.4,0.005
2014-07-06,23,16,0.029,0.023,0.3,0.004
2014-07-07,31,18,0.044,0.028,0.4,0.004
2014-07-08,27,17,0.027,0.029,0.4,0.005
2014-07-09,20,11,0.011,0.024,0.4,0.004
2014-07-10,30,15,0.028,0.019,0.3,0.004
2014-07-11,57,33,0.06,0.022,0.6,0.007
2014-07-12,68,43,0.053,0.021,0.5,0.006
2014-07-13,52,32,0.039,0.016,0.4,0.005
2014-07-14,72,45,0.049,0.019,0.5,0.006
2014-07-15,84,51,0.049,0.023,0.5,0.005
2014-07-16,48,29,0.041,0.023,0.4,0.005
2014-07-17,21,13,0.027,0.021,0.3,0.005
2014-07-18,15,10,0.026,0.025,0.3,0.005
2014-07-19,42,27,0.023,0.023,0.3,0.005
2014-07-20,52,32,0.034,0.019,0.4,0.005
2014-07-21,50,31,0.023,0.025,0.4,0.006
2014-07-22,18,11,0.007,0.015,0.3,0.005
2014-07-23,17,10,0.013,0.028,0.4,0.004
2014-07-24,11,7,0.02,0.029,0.4,0.004
2014-07-25,16,8,0.014,0.021,0.3,0.004
2014-07-26,34,20,0.047,0.013,0.4,0.004
2014-07-27,75,50,0.064,0.018,0.5,0.004
2014-07-28,60,39,0.041,0.031,0.6,0.004
2014-07-29,37,24,0.042,0.025,0.4,0.005
2014-07-30,26,16,0.024,0.023,0.4,0.004
2014-07-31,26,16,0.014,0.028,0.4,0.005
2014-08-01,16,9,0.018,0.022,0.3,0.004
2014-08-02,12,7,0.02,0.013,0.2,0.004
2014-08-03,9,5,0.021,0.012,0.2,0.004
2014-08-04,11,7,0.019,0.021,0.3,0.004
2014-08-05,46,29,0.032,0.022,0.4,0.005
2014-08-06,43,26,0.028,0.033,0.5,0.004
2014-08-07,38,21,0.013,0.037,0.5,0.004
2014-08-08,19,10,0.028,0.018,0.3,0.004
2014-08-09,19,12,0.044,0.014,0.3,0.004
2014-08-10,11,6,0.03,0.013,0.3,0.004
2014-08-11,24,13,0.027,0.02,0.3,0.004
2014-08-12,57,37,0.049,0.023,0.4,0.005
